2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 49700: train=0.900000 test=0.950000
batch 49800: train=0.950000 test=1.000000
batch 49900: train=0.950000 test=0.950000
batch 50000: train=1.000000 test=1.000000
batch 50100: train=1.000000 test=1.000000
batch 50200: train=1.000000 test=1.000000
batch 50300: train=1.000000 test=0.950000
batch 50400: train=1.000000 test=0.950000
batch 50500: train=0.950000 test=1.000000
batch 50600: train=1.000000 test=0.850000
batch 50700: train=1.000000 test=0.950000
batch 50800: train=1.000000 test=1.000000
batch 50900: train=0.950000 test=1.000000
batch 51000: train=0.950000 test=1.000000
batch 51100: train=1.000000 test=0.900000
batch 51200: train=1.000000 test=1.000000
batch 51300: train=0.950000 test=1.000000
batch 51400: train=1.000000 test=0.950000
batch 51500: train=1.000000 test=0.950000
batch 51600: train=1.000000 test=0.950000
batch 51700: train=1.000000 test=1.000000
batch 51800: train=1.000000 test=1.000000
batch 51900: train=0.950000 test=0.900000
batch 52000: train=1.000000 test=1.000000
batch 52100: train=0.900000 test=0.850000
batch 52200: train=1.000000 test=0.950000
batch 52300: train=1.000000 test=0.950000
batch 52400: train=0.950000 test=1.000000
batch 52500: train=1.000000 test=0.950000
batch 52600: train=1.000000 test=0.950000
batch 52700: train=0.950000 test=0.950000
batch 52800: train=1.000000 test=1.000000
batch 52900: train=0.950000 test=0.900000
batch 53000: train=1.000000 test=0.900000
batch 53100: train=0.950000 test=0.950000
batch 53200: train=0.950000 test=0.850000
batch 53300: train=0.950000 test=1.000000
batch 53400: train=1.000000 test=0.900000
batch 53500: train=0.900000 test=0.800000
batch 53600: train=1.000000 test=0.850000
batch 53700: train=1.000000 test=0.950000
batch 53800: train=1.000000 test=1.000000
batch 53900: train=1.000000 test=1.000000
batch 54000: train=0.950000 test=0.950000
batch 54100: train=1.000000 test=0.850000
batch 54200: train=1.000000 test=0.900000
batch 54300: train=1.000000 test=1.000000
batch 54400: train=0.950000 test=0.950000
batch 54500: train=1.000000 test=1.000000
batch 54600: train=1.000000 test=1.000000
batch 54700: train=1.000000 test=0.950000
batch 54800: train=0.900000 test=1.000000
batch 54900: train=0.950000 test=1.000000
batch 55000: train=0.950000 test=1.000000
batch 55100: train=0.950000 test=0.950000
batch 55200: train=1.000000 test=1.000000
batch 55300: train=1.000000 test=1.000000
batch 55400: train=1.000000 test=0.950000
batch 55500: train=1.000000 test=0.850000
batch 55600: train=1.000000 test=0.900000
batch 55700: train=0.900000 test=0.950000
batch 55800: train=1.000000 test=0.950000
batch 55900: train=1.000000 test=0.900000
batch 56000: train=1.000000 test=1.000000
batch 56100: train=1.000000 test=0.900000
batch 56200: train=1.000000 test=1.000000
batch 56300: train=1.000000 test=0.950000
batch 56400: train=1.000000 test=0.950000
batch 56500: train=0.950000 test=0.950000
batch 56600: train=1.000000 test=0.950000
batch 56700: train=1.000000 test=0.900000
batch 56800: train=1.000000 test=1.000000
batch 56900: train=1.000000 test=1.000000
batch 57000: train=0.950000 test=0.950000
batch 57100: train=0.950000 test=1.000000
batch 57200: train=1.000000 test=1.000000
batch 57300: train=1.000000 test=1.000000
batch 57400: train=1.000000 test=0.900000
batch 57500: train=1.000000 test=1.000000
batch 57600: train=1.000000 test=1.000000
batch 57700: train=1.000000 test=0.950000
batch 57800: train=0.950000 test=1.000000
batch 57900: train=1.000000 test=0.950000
batch 58000: train=0.950000 test=1.000000
batch 58100: train=1.000000 test=0.950000
batch 58200: train=1.000000 test=0.950000
batch 58300: train=0.950000 test=0.950000
batch 58400: train=0.950000 test=0.950000
batch 58500: train=1.000000 test=0.950000
batch 58600: train=0.950000 test=0.950000
batch 58700: train=0.950000 test=0.950000
batch 58800: train=1.000000 test=0.950000
batch 58900: train=1.000000 test=1.000000
batch 59000: train=1.000000 test=1.000000
batch 59100: train=0.900000 test=0.950000
batch 59200: train=1.000000 test=0.850000
batch 59300: train=1.000000 test=0.950000
batch 59400: train=0.850000 test=1.000000
batch 59500: train=1.000000 test=1.000000
batch 59600: train=0.950000 test=1.000000
batch 59700: train=0.900000 test=1.000000
batch 59800: train=0.900000 test=1.000000
batch 59900: train=0.950000 test=0.950000
batch 60000: train=0.900000 test=0.900000
batch 60100: train=0.950000 test=0.950000
batch 60200: train=1.000000 test=1.000000
batch 60300: train=0.950000 test=0.950000
batch 60400: train=1.000000 test=1.000000
batch 60500: train=1.000000 test=0.950000
batch 60600: train=1.000000 test=1.000000
batch 60700: train=1.000000 test=1.000000
batch 60800: train=1.000000 test=1.000000
batch 60900: train=1.000000 test=0.900000
batch 61000: train=1.000000 test=0.900000
batch 61100: train=1.000000 test=1.000000
batch 61200: train=1.000000 test=1.000000
batch 61300: train=1.000000 test=0.950000
batch 61400: train=0.950000 test=0.950000
batch 61500: train=1.000000 test=0.900000
batch 61600: train=1.000000 test=0.950000
batch 61700: train=0.950000 test=0.950000
batch 61800: train=1.000000 test=1.000000
batch 61900: train=1.000000 test=0.950000
batch 62000: train=1.000000 test=1.000000
batch 62100: train=1.000000 test=0.950000
